post,is_stress,stress_kind
I just have a lot of stresses in my life right now.,Yes,Emotional Turmoil
It's stress. I need to start meditating or something.,Yes,Emotional Turmoil
"u have no idea Anyways some of my friends lives are all in a wreck right now and it makes me feel so, so, so bad for them.",Yes,Emotional Turmoil
I don't know what to do for the remaining hours of today.,Yes,Emotional Turmoil
"it feels like i can't get out of this house, these days. obligation and paranoia and nerves caging me with threats of bodily harm.",Yes,Emotional Turmoil
Kelly is crazy stressed with the packing and the moving and the wedding and the dealing with all family all the time.,Yes,Emotional Turmoil
I'm feeling especially lonely right now.,Yes,Emotional Turmoil
i just get mad at him bc he smokes so much and like its really hard to explain.,Yes,Emotional Turmoil
like totally depressed. dont wanna see or talk to anyone.,Yes,Emotional Turmoil
I just feel really icky mentally. I'm drained and my patience is wearing thin and I'm stressed as hell and just pissed off.,Yes,Emotional Turmoil
Overwhelmed stressed which makes me have no appetite and worried I unable to clear all the work loads.,Yes,Emotional Turmoil
It just reinforces how depressed and alone I really feel.,Yes,Emotional Turmoil
It's really traumatic for me in a lot of ways right now.,Yes,Emotional Turmoil
"I'm losing control of my emotions and my thoughts, and it scares me.",Yes,Emotional Turmoil
People fight too much. I can't help but be pissed off at everything in my life right now.,Yes,Emotional Turmoil
I have been struggling a bit with myself and things emotionally lately.,Yes,Emotional Turmoil
This whole thing is getting blown out of perportion and really making me mad.,Yes,Emotional Turmoil
hehe i made a mistake!,No,Emotional Turmoil
"I'm still struggling with the whole ""feelings"" things and have some major mood swings about it sometimes.",Yes,Emotional Turmoil
"Gosh, this hurts me so much.",Yes,Emotional Turmoil
some times it seems like it is breaking because i'm worrying all the time.,Yes,Emotional Turmoil
Ever get that feeling when your so lonely your just sad?,Yes,Emotional Turmoil
"I think that may be why I plan so much stuff to do, because I need to have things to accomplish.",No,Emotional Turmoil
I think its just so much stress and like AHHH that im going crazy.,Yes,Emotional Turmoil
We didnt know any better. or maybe it's just the fact that i miss all my friends so much.,Yes,Emotional Turmoil
"I have to pay for the key to be made, and I need to get money for other activities this week.",Yes,Financial Problem
things are hectic and money is issue with me right now.,Yes,Financial Problem
i hate living and i hate everything its like im entirely empty and i cant find a single thing to be happy about.,Yes,Financial Problem
that's just because I so couldn't afford how much I spent.,Yes,Financial Problem
I don't have a cell phone and probably never will again because since I can't manage my money I can't afford a good one.,Yes,Financial Problem
"because the state is poor, there was no one they were willing to pay to fully plow the roads until dry.",No,Financial Problem
i really need to make more money.,Yes,Financial Problem
"i dont even know how i paid it, because i had no money. and funny thing.",Yes,Financial Problem
"i dont have a car now bc it costs to much to fix, so its a total loss.",Yes,Financial Problem
"I blame tudor oaks for making me lose a months worth of pay, on top of zero notice for me to go looking for a job.",Yes,Financial Problem
"I was barely able to maintain any retail shows, and thats where the serious money is.",Yes,Financial Problem
"I need to be here so I can work, I need money hard core.",Yes,Financial Problem
i dont know if im going to be able to manage my money.,Yes,Financial Problem
I couldn't REALLY afford to have a 2 week gap in pay between jobs.,Yes,Financial Problem
Like it's my fault there is no money.,Yes,Financial Problem
"Hence, we are pretty much financially broke.",Yes,Financial Problem
it took us an hour to get our rental car picked up because Thrifty sucks at life.,Yes,Financial Problem
"Wait, I don't have any money so scratch that idea.",Yes,Financial Problem
the problem is my family fucking sucks and is so goddamn poor that they are having trouble coming to pick me up.,Yes,Financial Problem
I'm sad I won't be able to run with Anna the next two weeks.,Yes,Financial Problem
"It's like two weeks pay won't even be enough to cover the cost of one round trip ticket, and I have to go once a month!",Yes,Financial Problem
I don't get paid until tomorrow and this ruins my life.,Yes,Financial Problem
"After all, their employer refuses to hire enough staff to realistically cover all duties, so why should they go out of their way to do a good job?",Yes,Financial Problem
I don't really have the money to go as much as I'd like.,Yes,Financial Problem
We can't afford the transaction overhead.,Yes,Financial Problem
I just paid off my car and can't really afford it.,Yes,Financial Problem
he lost his and really needs money cuz hes got bills ha.,Yes,Financial Problem
"I feel my life slipping away a day at a time, utterly wasted because of the mismanagement of my employers.",Yes,Financial Problem
I still don't have as much money as I would like.,Yes,Financial Problem
I spend money on classes that hold no interest for me so I don't do the work and now I'm very behind.,Yes,Financial Problem
Indigo Finances Indigos have a very poor understanding of money.,No,Financial Problem
Dammit i really need a job so I can get some money.,Yes,Financial Problem
"it costs a lot of money to travel, but i feel like my parents don't do it enough.",Yes,Financial Problem
"I have no money, I'm in debt.",Yes,Financial Problem
it's always frustrating when people who make more money than you talk about how poor they are.,Yes,Financial Problem
"Rhode Island, like the rest of the country, is in a heap of trouble financially.",Yes,Financial Problem
Money is being tight and it's worrying me more than I care to admit.,Yes,Financial Problem
Nothing to do and no one answers their phones because I'm a big loser.,Yes,Financial Problem
These few weeks are extremely busy weeks where the number of assignments due are too many for our own good.,Yes,Financial Problem
my parents and i have been long been ridiculed and treated poorly by my father's family and my parents really cannot afford to pay that much.,Yes,Financial Problem
"She's under a bit of stress and feels like she's in a permanent rut down here, especially in the financial spectrum.",Yes,Financial Problem
I'm starting to feel really on edge since I have no income and I'm spending a lot of money.,Yes,Financial Problem
"My car is frightening right now, And I can't afford to fix it.",Yes,Financial Problem
It's a shame that I don't manage my money very well.,Yes,Financial Problem
"Well, our pass making machine has been broken for the last month, so we couldn't do it.",Yes,Financial Problem
"My car is messed up, and we're short of the funds needed to deal with it at the moment.",Yes,Financial Problem
I don't make money to add to our finances.,Yes,Financial Problem
Just what i need is to owe more money.,Yes,Financial Problem
"I'm tight on money, so I can't afford to really go out and buy any material.",Yes,Financial Problem
my bank account is running out of money.,Yes,Financial Problem
We don't have enough to pay bills.,Yes,Financial Problem
I also just don't have enough money to pay someone to design a site for me.,Yes,Financial Problem
I've been doing TERRIBLE at managing my money lately.,Yes,Financial Problem
"I really need to find someway to make some money, which means applying for jobs.",Yes,Financial Problem
"Of course, on a related note, I'm starting to be concerned about my money.",Yes,Financial Problem
My truck borke down last week so I don't have a truck that could make it to Kentucky.,Yes,Financial Problem
"I finished shifting in one section earlier this week, and unfortunately can do no more because there aren't enough shelves to go around.",Yes,Financial Problem
The only problem is that we don't have any of the money right now and I have a car payment and insurance due in about a week.,Yes,Financial Problem
"What doesn't help is the fact that I still haven't gotten my physical for my job, so I can't work to make any money.",Yes,Financial Problem
"Hi, I make more money than you can spend.",No,Financial Problem
I'm struggling to make rent as I lost my job and kinda have nowhere to go.,Yes,Financial Problem
Totaled car means no car means another car means huge ridiculous payments that I really cant afford.,Yes,Financial Problem
"However, I can't pay for the GED yet because I don't get enough hours at work.",Yes,Financial Problem
Delays delays delays Too bloody busy the last few days to write.,Yes,Financial Problem
it's hard cause I dont use cash too often now. anyway.,Yes,Financial Problem
"Worst of all, I have work today, and as I have already had the weekend off sick, I can hardly call in again this morning.",Yes,Financial Problem
Had a terrible financial fright today.,Yes,Financial Problem
"in became ""I suck at writing and will never finish anything"" or ""I have no money and am a failure as a responsible adult"".",Yes,Financial Problem
"I am sad, because my paid account expired, and I no longer have access to my friendsfriends page.",Yes,Financial Problem
Now I can't afford that because the fucking truck is broke.,Yes,Financial Problem
How am i supposed to make a living from this when I just can't get into it. I feel like it's making me seriously miserable.,Yes,Financial Problem
"that's the thing, all money does it makes you worry that you will not have enough to sustain your life.",Yes,Financial Problem
Too bad i don't have enough money to buy them.,Yes,Financial Problem
amount of money ill be making from work in the next two weeks.,Yes,Financial Problem
Which really sucks cause I have no money.,Yes,Financial Problem
My computer crapped on itself at the beginning of the week and no amount of work has managed to revive it yet.,Yes,Financial Problem
I've been struggling so much with the admin and the boring side of life and its taken over a bit and I don't like it.,Yes,Financial Problem
"I need a job very badly, I am going to run out of money very soon.",Yes,Financial Problem
Can't even get any from my folks and with over a week to go till I get my first payslip from my new job things are looking dicey.,Yes,Financial Problem
I am really bad with money and struggle to save or spend appropriately.,Yes,Financial Problem
My credit isn't good enough for a loan.,Yes,Financial Problem
hence why i want more money!,Yes,Financial Problem
I'm didn't see my therapist this week due to money.,Yes,Financial Problem
we lost our payday for our last job.,Yes,Financial Problem
"Unfortunately, I have no money.",Yes,Financial Problem
I don't get paid nearly enough to be doing both.,Yes,Financial Problem
"Problem is, I couldn't afford the rent right now.",Yes,Financial Problem
"My financial situation is stressing me out so much, basically in that it doesn't exist.",Yes,Financial Problem
"I can't afford my car insurance as it is, let alone if the rates went up.",Yes,Financial Problem
"i am less than fruitful when it comes to work lately, and i am disturbingly behind.",Yes,Financial Problem
I am stressing a bit about money.,Yes,Financial Problem
I need to figure out a way to make more money.,Yes,Financial Problem
I don't make enough money to be able to call in as much as I do.,Yes,Financial Problem
I can't beleive how many miles I've put on my car this last week.,No,Financial Problem
I don't know how this is going to be accomplished as of yet because I don't have money and I'm extremely uncoordinated.,Yes,Financial Problem
"The down side is, though, that knowing I don't have enough money to cover everything, even the bills i knew were coming seem to hammer down on me.",Yes,Financial Problem
"It's pretty scary.. ok there's abit of money coming in from here and there, but compared to what papa's been getting, I think we're gonna have to cut back alot.",Yes,Financial Problem
I need to be paid more because I'm broke and I just got a bunch of bills and it makes me so sad.,Yes,Financial Problem
I just feel really bad that i can't make enough money where he wouldn't need to do this.,Yes,Financial Problem
I can't get enough money to live on.,Yes,Financial Problem
That sucks because i have no money.,Yes,Financial Problem
"It's the loan that's holding everything else up, which is highly frustrating.",Yes,Financial Problem
What's the differance between slavery and being forced to work because everything is so expensive?,Yes,Financial Problem
I didn't have as much money saved as I'd have liked.,Yes,Financial Problem
 I doubt my paycheck will cover it.,Yes,Financial Problem
"i need money, i'm so poor.",Yes,Financial Problem
I'm now not going to have a car for about a week so that sucks.,Yes,Financial Problem
My money situation is grim and scary.,Yes,Financial Problem
"I want to call into work sick tomorrow so badly and take a day to recoup, but I can't afford to, and that just makes it all the worse.",Yes,Financial Problem
"Because of this, we've been very poor.",Yes,Financial Problem
The financial part of it all is crappy because I am basically getting nothing for my old car.,Yes,Financial Problem
"i already had to cancel my classes tomorrow, which is no good for a poor teacher like me.",Yes,Financial Problem
"Ive just been bombarded by so much work, my pap is really not doing well, and i thought one of my closest friends was upset at me.",Yes,Financial Problem
"Lately, work has made me so tired that I don't even have time to get undressed..",Yes,Financial Problem
"Classes are tough, i haven't got a job yet. no income of money.",Yes,Financial Problem
I found out my dad Is losing his job.,Yes,Financial Problem
Money is tight though and I have to pay off these stupid student loans.,Yes,Financial Problem
i dont get paid enough to suffer this much.,Yes,Financial Problem
"my family is so broke rite now that they cant even afford to pay for our van's registration and inspection, so pretty much i am fuct.",Yes,Financial Problem
"Its sucks im so worried because i cant afford the art book and the mid term is next thursday, stupid money.",Yes,Financial Problem
I'm almost positive that my parents aren't going to get along all next weekend and that my house is going to be a hell hole.,Yes,Financial Problem
I just can't take this problem speech anymore and my boss is a bit annoyed by it.,Yes,Financial Problem
I have decided that I need to be making more money.,Yes,Financial Problem
"well work is going to suck the next couple weeks or should i say my paycheck, I am sceduled two days the next two weeks, how much does that suck.",Yes,Financial Problem
Need to earn more money. somehow,Yes,Financial Problem
He made everyone in debt and he couldn't walk.,Yes,Financial Problem
"I wish I could work more hours, I'm desperate for money.",Yes,Financial Problem
"Additionally money is a really big issue, and it keeps making me soo tense.",Yes,Financial Problem
"oh, i dont get paid til oct 3rd, and too bad i have a car payment due four days before that.",Yes,Financial Problem
"It's compounded by feeling like Work is pretty much pointless and stressful, and that I get hardly any free time any more.",Yes,Financial Problem
oh well i need more money.,Yes,Financial Problem
Ulta isn't making enough money so they are cutting back on hours majorly.,Yes,Financial Problem
"So, those who work expect to get paid, but they cant pay them becuase theres not enough money generated to pay all these employees sitting around.",Yes,Financial Problem
i need someway to get more money.,Yes,Financial Problem
THERE WAS A MIS COMMUNICATION OF SOME SORTS AND WE DIDN'T PAY OUR PHONE BILL AND THE PHONE COMPANY CUT IT OFF FOR A WEEK!,Yes,Financial Problem
"It takes a lot for me to say something is unbearable, and this week has been nearly unbearable.",Yes,Financial Problem
damn my lack of money.,Yes,Financial Problem
There is so much shame attached to money in my family.,Yes,Financial Problem
"We didn't have enough money in the first place so, what the fuck is your problem old man?",Yes,Financial Problem
"It's so frustrating, because you have to pay them so much money, just so they'll take your money.",Yes,Financial Problem
"Besides we are moving that weekend and I am going to be flat broke from paying two months rent and frankly, I don't want to drive to AR.",Yes,Financial Problem
"It's shitty. also, not to mention the no money and ability to do anything cause of my huge amounts of debt.",Yes,Financial Problem
It sucks being in a financial slump.,Yes,Financial Problem
"In the second year, Del wasn't able to get my gift in on time because of a family sadness.",Yes,Financial Problem
"I hate looking for jobs, I ruined my credentials and theres nothing to consider about me.",Yes,Financial Problem
"This week, however, has turned into one hell of a crazy week with everything piling up and my not have enough time.",Yes,Financial Problem
"it seems like this year is goin by so slow, and i have a shit job, so that doesnt help.",Yes,Financial Problem
money is tight in these parts.,Yes,Financial Problem
I couldn't really afford proper meals all the time and they take a lot of time to make and here's a lot of waste when cooking for one.,Yes,Financial Problem
How utterly poor I am and how debt is ruining my life 2.,Yes,Financial Problem
I have waaay too many bills to pay and not nearly enough money to cover them.,Yes,Financial Problem
Now i HAVE to get a job asap to help with my payments.,Yes,Financial Problem
"I'm really not liking my job, I'm extremely in debt.",Yes,Financial Problem
I'm tired of working so hard and not having enough money to do anything.,Yes,Financial Problem
I'm so stressed out.. I can't pay my rent.. cause i'm not working over time..,Yes,Financial Problem
I'm so tired of the stress of keeping after a landlord with no ethics.,Yes,Financial Problem
"Problem is, it's Christmas season, and I have to withdraw some money for presents.",Yes,Financial Problem
This stupid money situation is coming down on me pretty hard right now.,Yes,Financial Problem
I didn't go shopping because I don't have a lot of money.,Yes,Financial Problem
I so don't get paid enough.,Yes,Financial Problem
"On their lives, they could not count enough cash to pay the bill.",Yes,Financial Problem
John isn't cooperating in the lease break and I'm so in debt that I don't know where to start.,Yes,Financial Problem
It's weird to be done so early but we are poor so I did not have much to buy.,Yes,Financial Problem
"Work takes up so much time, though, and my finances are so tight because of my expenses, that i feel like my life is, at this point, an investment.",Yes,Financial Problem
They are more expensive than I pay for living now.,No,Financial Problem
I didn't get money for the summer semester so its been rough the last few months.,Yes,Financial Problem
"Financially, things are VERY tight.",Yes,Financial Problem
"Her job is really bad, and then on top of that all this family trouble.",Yes,Financial Problem
being so tight on money also made their realtionship hard.,Yes,Financial Problem
Those people are so badly paid that they have no investment in their job.,Yes,Financial Problem
I also had no money so i couldn't really buy much. here,Yes,Financial Problem
I need to give it a serious thought cause this new job is just shitting me and I'm not getting the money that I thought I would.,Yes,Financial Problem
What a HUGE financial load off my back that is!,No,Financial Problem
"I mean, I registered with the DSS and they planned out every hour of my weekend this past week, and it just doesn't work.",Yes,Financial Problem
Because the creators were poor and didn't have money to expand.,No,Financial Problem
oh well..I need money because im broke.,Yes,Financial Problem
"In other words, I am BROKE. I have no money.",Yes,Financial Problem
"I need to get that job, I need to get the money, and I need to get out.",Yes,Financial Problem
It pretty much sucks because I need money to pay my bills.,Yes,Financial Problem
third i scared her boyfriend so he refuses to let me move in with them.,Yes,Family Issues
My family drives me crazy,Yes,Family Issues
"I hate how emotional I get on my period, it makes me crazy.",Yes,Family Issues
"Sorry, Brian, but I'm so sick of hearing it from my parents, I get a little defensive",Yes,Family Issues
i still have issues with fitting in and my parents are fighting like crazy still and my father is incredibly abusive and controlling.,Yes,Family Issues
"I make my children cry, I'm losing patients every day, and to be honest, I'm starting to suspect even you guys don't enjoy spending time with me.",Yes,Family Issues
"when my grandpa died, i felt terrible.",Yes,Family Issues
"It's going to be a fraught weekend as Dad does not enjoy seeing his relatives, particuarly his mother.",Yes,Family Issues
What if it is your husband or wife that cheats on you?,Yes,Family Issues
"I got in a fight with my family today, they don't trust me.",Yes,Family Issues
so my mom has been stressin out a lot over my gramma.,Yes,Family Issues
my mom is mad at me I think.,Yes,Family Issues
i feel sad that i dont spend enough time with my parents.,Yes,Family Issues
haha I'm sick.. and I'm sad that I'm sick.. but oh well I have to meet Andrews like entire family today.. and I'm shit scared.. so very very scared,Yes,Family Issues
i neeed to leeeave my parents are being totally weird and annoying i'm desperate.,Yes,Family Issues
"Except that now i'm going through a difficult week cause it's the annivesary of my brother's death, and that never feels good.",Yes,Family Issues
"This morning started on a bad note, as my clock is wacko and made me and my family late for church.",Yes,Family Issues
"My problem is I suffer from having an extremely nosy family, especially a mother who doesn't know when butt out.",Yes,Family Issues
"still his mother worried, for him to face this day alone.",Yes,Family Issues
wow my mom is already pissing me off and i just got home.,Yes,Family Issues
I feel bad for my mom cuz of all she has to deal with right now.,Yes,Family Issues
sometimes i feel so trapped in my parents' problems that i can't escape them.,Yes,Family Issues
We are growing worried about Mother.,Yes,Family Issues
It's been hard raising you without your mother.,Yes,Family Issues
I always feel guilty when my family starts to drive me crazy.,Yes,Family Issues
it sucks that i hate being around my family because they make me feel incompetent.,Yes,Family Issues
"sadly, i will not be there for him, and its sad because oout of all his friends.",Yes,Family Issues
"i am so upset and i got into a huge fight with my mom today and i actually told her to ""get off!"" bad day, indeed.",Yes,Family Issues
My mother hurts my feelings when she comes around.,Yes,Family Issues
I am very worried about my mother.,Yes,Family Issues
im just worried about my mom and having to deal with all that.,Yes,Family Issues
my mom was sick.,Yes,Family Issues
"On other note, knowing from Dad that grandma's health is not in a good condition which have already made me not feeling good for couple of days.",Yes,Family Issues
my family makes me so uncomfortable.,Yes,Family Issues
See how horribly upset I get when I can't escape my house?,Yes,Family Issues
Found out I need surgery next week to remove what is causing the pain.,Yes,Family Issues
smaka had problems with his baby i think.,Yes,Family Issues
I'm in so much trouble with my mom.,Yes,Family Issues
"Work has been rough this week, started out the week with having to tell family that we didn't have a room for them because CP over booked us.",Yes,Family Issues
"My parents are fighting, we don't do ANYTHING as a family anymore and that pisses me off.",Yes,Family Issues
"my dad is sick again.. BLAH,i feel bad for him..",Yes,Family Issues
Things are not going well with my Uncle.,Yes,Family Issues
"with all that my nieces and nephews are going through, I just don't have the heart to tell them that they can't bring their pets.",Yes,Family Issues
"Mike's hungover ass is at a rehearsal, so I cooked myself some dinner at watched The Empire Strikes Back.",No,Family Issues
"My parents keep telling me to not play, and I really agree, but it is so hard!",Yes,Family Issues
I fear that my parents will leave me and I will not have the stability that I finally reached with my family.,Yes,Family Issues
Mom and dad weren't going to let that work.,Yes,Family Issues
I can't talk to my parents about my deep feelings.,Yes,Family Issues
My dad is all sick like.,Yes,Family Issues
His dad hurt him very badly.,Yes,Family Issues
"I won't get into it, but things with my Dad aren't going well.",Yes,Family Issues
"All I ever wanted to do was help, so when I constantly had to be pushed aside because she was always under so much stress, it kinda stressed ME out.",Yes,Family Issues
Today my little brother got into a fight.,Yes,Family Issues
Brian called and for some reason I feel like he does not like to talk as long as he used to.,Yes,Family Issues
my mom is really bothering me.,Yes,Family Issues
my dad is very upset about it and since everything went down mine and my father's relationship really went down hill and things have been extra crazy since then.,Yes,Family Issues
"Even, both of my grandparents are so worried about me have been calling me almost everyday to check whether I'm feeling better and stuff. """,Yes,Family Issues
ahh i am getting so sick of dealing with my mom each day.,Yes,Family Issues
my grandpa is really really sick.,Yes,Family Issues
idk i hate to say anything because his moms always on his case about it and it really gets him down.,Yes,Family Issues
i hate that i haven't seen my family in over a week.,Yes,Family Issues
"No matter what I know, it's hard to have it happen to my Mom, you know?",Yes,Family Issues
my moms mad at me this sucks.,Yes,Family Issues
"All hell breaks loose, my mom starts screaming at my sister about how she's an idiot, and my sister is sobbing.",Yes,Family Issues
Right now my family is in such finacial trouble..it's just not possible.,Yes,Family Issues
"My dad is really mad at my bf about wat happened, and it really upsets me.",Yes,Family Issues
My dad's been getting all insecure about it.,Yes,Family Issues
"My mom was expressing a deep resentment of Mrs. Grier today, and what she appears to be doing to me.",Yes,Family Issues
today i got in a fight with my dad.,Yes,Family Issues
"Bad, Im struggling so badly right now life sucks and now my mom and dad have to make me feel worse.",Yes,Family Issues
Except that fact that my family drives me crazy.,Yes,Family Issues
My mom is extremely mad at me.,Yes,Family Issues
Hello! So yea Um. the other day i got in a fight with my dad,Yes,Family Issues
another thing that i'm really worried abuot that i shouldn't even be thinking right now is about how my family in general is going to do.,Yes,Family Issues
My maternal grandmother was diagnosed with a particularly aggressive and fast moving form of ovarian cancer when it was in a fairly advanced stage of development.,Yes,Family Issues
Mom and Dad would never forgive us.,Yes,Family Issues
My mom thinks Ellie isn't ready and I can't judge for myself in this situation.,Yes,Family Issues
"So, it starts out that I'm cranky, because I had a bad weekend, and I just didn't want to go to school.",Yes,Family Issues
i can't handle my little brother's sickness.,Yes,Family Issues
"i was so frustrated.then after my cousin, aunt, and casey left me and mom got into a fight.. she was yelling.. cause i blamed ashlie on her.",Yes,Family Issues
"My parents cant get along for a full day, my father wants nothing to do with my life.",Yes,Family Issues
My mom was so worried about us..,Yes,Family Issues
"When my mom called earlier, before work, I just did not want to talk to her and sounded really depressed.",Yes,Family Issues
"Been fighting with mom a lot lately, which kind of makes me sad.",Yes,Family Issues
well my mom has been very sick.,Yes,Family Issues
my sister is a pain in my ass.,Yes,Family Issues
"Her mother was threatened by her, worried.",Yes,Family Issues
"It is sooo hard right now, cuz i know my parents are really goin through a hard time.",Yes,Family Issues
jesus fucking christ this whole country makes me sick. and my goddamned parents want me to have dinner with them and celebrate.,Yes,Family Issues
I often feel bad when it comes to my friends back home.,Yes,Family Issues
I'm really getting tired of my family.,Yes,Family Issues
He cheated on my mom.,Yes,Family Issues
My parents couldn't get me off the thing.,Yes,Family Issues
I'm having a very stressful conversation with my Mom here.,Yes,Family Issues
"It just makes me sad to think my baby is getting older and any health ""problem"" upsets me greatly.",Yes,Family Issues
My parents are driving me insane.,Yes,Family Issues
"i'm so worried about failing, and about money, and about my mom hating me.",Yes,Family Issues
Mom was diagnosed with stage 3C ovarian cancer.,Yes,Family Issues
My mom's in VA seeing my Aunt Lisa who is pretty sick.,Yes,Family Issues
"Great, M caused a fight between brothers.",Yes,Family Issues
"your mother and i are gunna have dinner cuz ill wilt away before you get home"" and you know what I HATE BEING HOME!!!",Yes,Family Issues
Its her husbands word against her parents and the whole situation is such a mess.,Yes,Family Issues
"Secondly, I know my mom worries a lot, but when she says things like that to me, it scares me.",Yes,Family Issues
"It makes me really sad that my mom can't be happy for me, that she has to add stress on to everything else that is already stressful.",Yes,Family Issues
my mom started crying and she said it hurts that my sister didnt go to her for this kinda stuff.,Yes,Family Issues
Going over to Eliza's house and getting sick there since Eliza and her mom were both sick 3.,Yes,Family Issues
This is the week I haven't been looking forward to because my family is about to be split up.,Yes,Family Issues
I've been fighting with my parents.,Yes,Family Issues
i can't stand my parents either. seriously.,Yes,Family Issues
After feeling very angry and upset with my mom.,Yes,Family Issues
My mom is really starting to irk me.,Yes,Family Issues
I understand that my parents had no control over the situation and that bothers them.,Yes,Family Issues
ew my mom was giving me a hard time about prociesum.,Yes,Family Issues
My mom just got diagnosed with breast cancer and that is kind of scary.,Yes,Family Issues
jacki's dad is going in for surgery tomorrow.,Yes,Family Issues
"I'm really, really worried and upset and keep getting conflicting information from my family with my mom tending toward the optimistic and my sister tending toward the pessimistic.",Yes,Family Issues
My mom gets so stressy and bitchy during the holidays and then she takes it all out on me and yells at me.,Yes,Family Issues
my mom lost her job.,Yes,Family Issues
my mom lost her job today.,Yes,Family Issues
"Sure, she's got problems, but bitching about it to everyone and their mom isn't going to help me in the long run. I won't have friends much longer.",Yes,Family Issues
"i feel bad,i have been really bitchy to mom lately.",Yes,Family Issues
"my family never helps, no, they make things worse.",Yes,Family Issues
I'm getting very tired of my mother telling me that I do not have my priorities straight.,Yes,Family Issues
my family can't find or contact my sister.,Yes,Family Issues
So I definately got in a fight with my Dad.,Yes,Family Issues
My brother and I have been arguing and having disagreements at work.,Yes,Family Issues
I'm crying because I know this is going to hit my family hard when they've already been through so much.,Yes,Family Issues
i was so worried things would be bad this weekend and get me all upset so i can't study and do well on my 2 exams.,Yes,Family Issues
Its wierd but me and my brother are really sick.,Yes,Family Issues
"Lorraine, who I work with, her son does not have money saved up.",Yes,Family Issues
My mother is driving me INSANE.,Yes,Family Issues
i am sick of husband not understanding and people avoiding me because they don't understand.,Yes,Family Issues
"I had an argument with my mom, and now I feel all sad and squishy.",Yes,Family Issues
I'm scared of what my family will say.,Yes,Family Issues
I've been having nightmares about going back to school already and the kids hating me and not listening and it's only Monday.,Yes,Family Issues
"i don't enjoy spending time with my family currently, and this makes me a horrible person cause i am leaving in a month.",Yes,Family Issues
my sister is pissing me off. and,Yes,Family Issues
today i went to school i fucking woke up late because of my stupid dad i fuckin hate him..,Yes,Family Issues
i found out my mom lost her job.,Yes,Family Issues
"I am so frustrated, upset and angry with what's going on between mom and dad.",Yes,Family Issues
My mom is pissed off at me.,Yes,Family Issues
Bad ones an now my mom an me are getting worried.,Yes,Family Issues
"I hate being at home too, I hate having to work and I hate the constant tension with my parents.",Yes,Family Issues
"mother is back, and feels odd here at home. for three weeks",Yes,Family Issues
my mom is really worried about me.,Yes,Family Issues
"scared though, mom and i argued, she left and i dont know where she is.",Yes,Family Issues
Been going crazy because of my parents I really dislike them a lot.,Yes,Family Issues
"This is a huge burden, and my mom feels bad.",Yes,Family Issues
Kev and Shelly's dad was really sick,Yes,Family Issues
i've got in the back of my mind that my mom's been fallin lately and needs me here incase she does cuz she can't get up.,Yes,Family Issues
Tonks's family is disgusted by her marriage.,Yes,Family Issues
My mom was upset that i didnt greet my grandma.,Yes,Family Issues
My parents are driveing me INSANE here.,Yes,Family Issues
My beloved friends and boyfriend are out there worried about my health now.,Yes,Family Issues
i just feel miserable and my parents are driving me crazy.,Yes,Family Issues
"Fuck, not seeing their dad is bad for em.",Yes,Family Issues
"i talked to my mom about it, cause lately shes had a lot to deal with..and im just worried for her.",Yes,Family Issues
"We had fun, but time passed and she had to leave like 3 hours after my visit.",No,Family Issues
This type of life style is destructive and especially so for children whose parents are living a bad example before them.,Yes,Family Issues
since his wife died he's having a really hard time.,Yes,Family Issues
"I had a big falling out with my Dad, and all I can think about is that fight.",Yes,Family Issues
My brother's friends are over and they are arguing over it.,Yes,Family Issues
"my marraige is falling apart and my husband doesnt want to talk about it, just issue demands and ultimatums.",Yes,Family Issues
"When Beki told me about her Mom's problem a while ago, I was worried.",Yes,Family Issues
She told me today that she is three weeks lateshe might be pregnant.,No,Family Issues
"This year I feel like I HAVE to get my dad something, which is REALLY strange because he hasn't been a great father at all this yr.",Yes,Family Issues
"im sad and nervous and EXTREMELY MAD i mean, shes always doing something to put my parents through hell.",Yes,Family Issues
There's SOO much drama going on within my family.,Yes,Family Issues
I can't provide for them if I drop school.,Yes,Family Issues
My host there had a family emergency to deal with.,Yes,Family Issues
In bad news my sister has tested positive for ovarian cancer..my family is devastated.,Yes,Family Issues
It is my job to advocate for my kids and I get so pissed when no one listens.,Yes,Family Issues
 I know that I'll never be able to get the same relationship back with my folks and I'm really feeling isolated from his family.,Yes,Family Issues
My mom is getting angry at him and taking it out on me.,Yes,Family Issues
"I was speaking with my dad in the morning, and he really doesn't like to talk.",Yes,Family Issues
MY fucking father got me sick! uh!,Yes,Family Issues
"I am exhausted from long, tedious, emotional, gut wrenching conversation I had with my parents.",Yes,Family Issues
Looks like i have problems at home,Yes,Family Issues
there are weird moments when i miss my son most. they are not predictable or organized or logical.,Yes,Family Issues
I feel old my youngest Sammie she is only 5 she lost her first tooth yesterday.,Yes,Family Issues
"my mom's suffering does add to my family's current levels of stress, it still doesn't give me free rein to go all Sylvia Plath.",Yes,Family Issues
"Of course, with school and work and all, I just don't have the time for a boyfriend, much less my own friends and family.",Yes,Family Issues
My mom was upset that he didn't do bloodwork to figure out my fatigue problem.,Yes,Family Issues
YOSHIKI's primary physician is quoted as saying he will need around a week to recover from the surgery and at least another month of rehabilitation.,Yes,Family Issues
I was mean to chris yesterday and I feel bad.,Yes,Family Issues
I can't please any of my n.u.m.e.r.o.u.s. parents.,Yes,Family Issues
